district,soiltype,season,avgrainfall_mm,avgtemp_c,avghumidity_%,soil_ph,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,Crop
Sangli,Red,Kharif,1015,27,67,7,232,38,318,Tur
Mumbai City,Laterite,Rabi,909,34,72,7,358,19,159,Soybean
Washim,Laterite,Kharif,717,26,79,7,310,30,213,Wheat
Hingoli,Sandy,Kharif,1033,19,72,7,293,24,272,Cotton
Thane,Sandy,Rabi,974,27,65,7,274,18,221,Sugarcane
Palghar,Black,Kharif,594,28,69,8,250,20,188,Soybean
Wardha,Black,Rabi,1059,34,35,8,318,8,243,Wheat
Gondia,Red,Rabi,885,31,47,7,299,23,269,Sugarcane
Amravati,Red,Rabi,1201,25,21,6,245,32,199,Cotton
Solapur,Laterite,Zaid,559,27,59,8,299,34,156,Cotton
Ahmednagar,Sandy,Zaid,489,30,28,7,266,34,203,Wheat
Thane,Alluvial,Rabi,836,32,72,7,312,31,205,Wheat
Solapur,Black,Kharif,1335,34,65,8,245,16,252,Sugarcane
Pune,Red,Zaid,1514,26,73,7,227,27,245,Wheat
Aurangabad,Alluvial,Rabi,984,32,48,7,218,35,259,Sugarcane
Jalna,Black,Rabi,1024,31,101,7,284,40,149,Rice
Dhule,Red,Zaid,782,34,49,7,276,27,220,Cotton
Jalna,Laterite,Rabi,972,32,55,7,350,44,263,Sugarcane
Yavatmal,Black,Zaid,1130,41,70,7,233,29,248,Maize
Mumbai Suburban,Sandy,Rabi,995,27,54,7,245,23,214,Soybean
Washim,Black,Kharif,723,19,60,8,382,28,221,Sugarcane
Yavatmal,Alluvial,Rabi,800,27,83,8,330,20,256,Rice
Nagpur,Alluvial,Zaid,405,29,24,7,261,23,214,Maize
Wardha,Black,Kharif,871,31,67,7,202,22,225,Tur
Jalna,Black,Zaid,840,34,53,7,247,57,243,Wheat
Buldhana,Black,Rabi,1085,23,77,7,267,33,151,Maize
Amravati,Alluvial,Zaid,834,31,68,7,277,15,261,Cotton
Nagpur,Sandy,Rabi,1207,26,66,7,270,26,210,Rice
Satara,Black,Rabi,1103,21,62,8,302,6,219,Tur
Kolhapur,Alluvial,Zaid,1378,32,75,7,375,37,260,Tur
Sindhudurg,Sandy,Rabi,1385,31,36,7,273,21,212,Tur
Ahmednagar,Red,Rabi,856,25,78,7,258,25,302,Cotton
Dhule,Sandy,Zaid,1174,30,39,7,296,15,179,Maize
Gadchiroli,Sandy,Rabi,830,25,60,7,314,20,223,Sugarcane
Pune,Sandy,Kharif,615,32,60,7,264,22,198,Rice
Latur,Black,Zaid,1128,28,47,7,278,30,277,Tur
Satara,Black,Rabi,908,33,75,7,246,29,177,Tur
Wardha,Alluvial,Kharif,1693,23,78,8,315,26,226,Cotton
Hingoli,Black,Kharif,484,29,43,7,307,18,209,Wheat
Dhule,Alluvial,Zaid,1479,29,67,8,293,28,215,Tur
Nanded,Laterite,Zaid,1084,27,76,7,253,40,200,Wheat
Thane,Black,Zaid,606,26,71,7,240,34,191,Sugarcane
Parbhani,Red,Rabi,657,31,56,6,188,24,221,Sugarcane
Beed,Laterite,Zaid,843,20,12,7,298,-1,215,Rice
Latur,Black,Rabi,1386,23,55,7,254,27,297,Sugarcane
Nashik,Red,Zaid,1052,33,60,7,222,12,230,Tur
Chandrapur,Red,Rabi,1130,31,61,7,236,36,286,Cotton
Gadchiroli,Alluvial,Zaid,189,26,70,7,240,25,177,Maize
Ratnagiri,Alluvial,Zaid,1048,27,73,6,269,26,271,Cotton
Dhule,Laterite,Kharif,652,32,81,7,245,18,242,Cotton
Kolhapur,Laterite,Zaid,640,28,68,6,231,25,236,Cotton
Nanded,Laterite,Kharif,1623,28,57,7,301,28,239,Soybean
Hingoli,Sandy,Zaid,338,32,48,7,271,22,198,Maize
Nanded,Sandy,Kharif,982,26,76,6,274,32,304,Soybean
Amravati,Sandy,Rabi,706,28,82,8,361,28,152,Cotton
Satara,Red,Kharif,594,28,60,7,294,34,211,Maize
Sindhudurg,Sandy,Zaid,766,29,52,6,251,28,150,Tur
Satara,Black,Zaid,886,34,56,7,290,31,295,Maize
Jalgaon,Alluvial,Rabi,1174,30,72,7,244,0,198,Cotton
Jalna,Alluvial,Kharif,851,27,78,7,172,39,224,Cotton
Nandurbar,Black,Kharif,780,22,70,7,337,14,154,Cotton
Satara,Black,Rabi,1277,29,55,7,298,23,167,Cotton
Jalgaon,Laterite,Kharif,1177,36,81,7,289,35,204,Cotton
Kolhapur,Sandy,Rabi,1311,26,61,6,272,21,215,Soybean
Pune,Laterite,Rabi,1459,24,62,6,215,33,191,Soybean
Dhule,Laterite,Zaid,934,38,62,7,255,21,215,Rice
Yavatmal,Sandy,Zaid,894,31,68,7,304,24,226,Maize
Dhule,Black,Kharif,872,34,77,7,274,13,252,Rice
Buldhana,Black,Zaid,869,30,78,7,320,6,203,Maize
Ahmednagar,Alluvial,Kharif,1206,25,67,6,292,36,132,Cotton
Ratnagiri,Laterite,Kharif,1226,33,50,7,249,22,193,Cotton
Hingoli,Alluvial,Rabi,1125,22,46,7,244,39,187,Wheat
Latur,Alluvial,Kharif,1370,24,53,7,300,19,152,Rice
Solapur,Alluvial,Kharif,1226,24,66,7,158,23,172,Rice
Gadchiroli,Black,Kharif,894,26,44,7,248,29,281,Maize
Gondia,Alluvial,Kharif,638,25,61,7,353,29,162,Rice
Hingoli,Alluvial,Rabi,892,27,89,8,328,11,190,Soybean
Jalna,Laterite,Rabi,1479,34,58,6,312,32,237,Wheat
Pune,Red,Rabi,826,28,50,6,268,30,195,Soybean
Ratnagiri,Alluvial,Kharif,736,28,55,8,309,27,302,Wheat
Bhandara,Red,Zaid,875,29,62,8,305,17,200,Tur
Jalgaon,Alluvial,Rabi,339,38,65,8,270,23,223,Soybean
Mumbai City,Red,Rabi,598,30,57,7,244,27,244,Sugarcane
Gondia,Sandy,Rabi,1588,24,81,7,222,15,278,Tur
Buldhana,Black,Rabi,257,31,44,6,197,23,275,Wheat
Palghar,Laterite,Zaid,931,31,48,9,262,28,186,Tur
Dhule,Laterite,Rabi,1155,20,89,7,231,15,212,Tur
Nashik,Laterite,Zaid,969,20,89,6,232,32,238,Rice
Bhandara,Laterite,Kharif,652,26,54,8,188,27,163,Cotton
Nanded,Sandy,Rabi,1101,31,59,7,191,16,271,Cotton
Ahmednagar,Red,Zaid,1735,21,88,7,345,16,208,Wheat
Sindhudurg,Sandy,Zaid,630,21,70,7,256,25,237,Wheat
Kolhapur,Black,Kharif,616,33,79,8,333,21,298,Tur
Nanded,Black,Rabi,1193,30,71,7,184,27,190,Rice
Nagpur,Laterite,Zaid,771,33,51,6,295,26,250,Maize
Nandurbar,Alluvial,Zaid,794,27,73,7,230,46,245,Tur
Bhandara,Alluvial,Kharif,920,27,73,8,365,34,253,Cotton
Gondia,Black,Rabi,1172,26,65,7,291,24,210,Wheat
Thane,Sandy,Zaid,823,26,88,7,336,23,268,Tur
Ratnagiri,Laterite,Rabi,1000,22,79,7,214,28,235,Wheat
Nagpur,Black,Zaid,756,34,60,7,307,35,210,Rice
Nandurbar,Black,Rabi,819,24,54,6,307,25,273,Tur
Dhule,Black,Rabi,697,22,89,7,223,28,232,Tur
Solapur,Red,Rabi,874,32,56,6,255,17,251,Tur
Nanded,Sandy,Kharif,1267,28,63,7,230,19,144,Sugarcane
Sindhudurg,Alluvial,Zaid,943,23,61,6,264,22,188,Rice
Jalgaon,Laterite,Rabi,1110,24,32,7,275,15,289,Sugarcane
Latur,Laterite,Zaid,837,23,48,7,282,17,274,Sugarcane
Raigad,Sandy,Zaid,736,31,63,7,321,35,261,Sugarcane
Washim,Red,Zaid,735,32,49,6,355,18,182,Sugarcane
Raigad,Red,Zaid,1018,24,67,8,257,23,242,Rice
Amravati,Black,Kharif,508,17,89,7,298,32,168,Sugarcane
Dhule,Laterite,Kharif,1158,24,68,8,212,21,205,Sugarcane
Washim,Laterite,Rabi,939,24,53,7,313,19,211,Maize
Kolhapur,Laterite,Kharif,1093,28,52,7,267,18,217,Tur
Gondia,Laterite,Kharif,267,25,68,8,213,37,179,Wheat
Palghar,Red,Kharif,973,29,78,8,305,36,288,Cotton
Palghar,Sandy,Zaid,841,31,79,6,231,25,203,Maize
Mumbai Suburban,Black,Zaid,957,28,65,7,267,29,236,Rice
Pune,Laterite,Zaid,771,27,80,7,305,16,170,Soybean
Palghar,Black,Kharif,1022,29,79,7,290,31,243,Rice
Ratnagiri,Laterite,Rabi,1280,32,79,6,289,24,194,Wheat
Aurangabad,Black,Rabi,443,26,55,7,266,20,266,Maize
Satara,Red,Zaid,1362,34,76,7,308,32,207,Maize
Amravati,Red,Rabi,1080,29,62,7,260,21,256,Soybean
Pune,Laterite,Kharif,1142,28,47,7,254,22,225,Sugarcane
Wardha,Alluvial,Rabi,1362,23,70,7,267,17,258,Cotton
Latur,Alluvial,Rabi,1052,23,53,7,235,23,197,Maize
Nanded,Sandy,Zaid,855,27,84,7,306,16,289,Rice
Aurangabad,Alluvial,Zaid,1389,23,78,7,275,44,151,Sugarcane
Parbhani,Sandy,Kharif,1558,31,68,7,277,25,215,Rice
Bhandara,Black,Kharif,1580,25,56,7,323,31,247,Sugarcane
Amravati,Laterite,Kharif,1139,24,42,7,291,27,205,Rice
Solapur,Black,Zaid,751,29,54,7,267,23,289,Sugarcane
Ratnagiri,Laterite,Rabi,1510,29,74,7,290,24,285,Tur
Gadchiroli,Black,Kharif,855,29,55,6,258,26,205,Wheat
Gondia,Alluvial,Rabi,609,24,49,8,389,35,294,Wheat
Latur,Red,Zaid,1492,23,64,7,240,15,171,Maize
Kolhapur,Black,Kharif,1354,23,70,6,308,20,221,Tur
Yavatmal,Sandy,Kharif,970,30,78,6,339,19,202,Maize
Gadchiroli,Red,Kharif,786,30,79,7,251,27,215,Sugarcane
Nashik,Laterite,Kharif,1393,28,92,7,284,25,252,Maize
Akola,Black,Kharif,1077,21,54,7,295,19,223,Soybean
Mumbai City,Alluvial,Rabi,876,26,66,8,269,17,253,Soybean
Gadchiroli,Black,Kharif,1060,27,79,6,278,43,224,Tur
Beed,Black,Zaid,740,24,64,7,342,22,283,Cotton
Solapur,Alluvial,Rabi,667,28,23,7,272,18,182,Wheat
Chandrapur,Alluvial,Zaid,806,31,70,8,233,25,122,Soybean
Latur,Sandy,Rabi,870,27,69,8,283,18,122,Soybean
Nandurbar,Red,Zaid,1087,32,68,7,204,31,219,Sugarcane
Ratnagiri,Black,Kharif,831,25,69,7,254,19,240,Rice
Jalgaon,Red,Zaid,894,30,87,7,192,15,205,Sugarcane
Parbhani,Black,Rabi,1125,21,82,7,249,40,274,Soybean
Washim,Black,Rabi,1268,21,73,7,308,24,168,Tur
Gondia,Laterite,Rabi,1148,28,97,7,236,29,213,Sugarcane
Parbhani,Black,Kharif,237,31,74,8,325,37,300,Maize
Akola,Laterite,Zaid,875,29,46,6,287,28,210,Cotton
Washim,Black,Zaid,1072,37,98,7,222,31,186,Wheat
Nashik,Sandy,Kharif,1550,28,69,7,179,48,202,Wheat
Latur,Alluvial,Zaid,996,26,68,7,390,14,239,Rice
Sindhudurg,Sandy,Rabi,889,24,59,7,331,16,204,Tur
Chandrapur,Red,Rabi,383,33,47,7,158,13,190,Maize
Palghar,Alluvial,Kharif,1181,23,76,7,255,24,234,Wheat
Buldhana,Red,Zaid,427,19,75,8,282,33,258,Soybean
Ahmednagar,Laterite,Rabi,1000,26,76,7,284,33,167,Cotton
Bhandara,Laterite,Kharif,844,28,75,7,282,25,235,Maize
Chandrapur,Alluvial,Kharif,760,25,76,7,269,23,230,Sugarcane
Chandrapur,Laterite,Rabi,1206,24,70,7,293,29,279,Cotton
Osmanabad,Alluvial,Zaid,1101,35,69,7,326,22,249,Tur
Wardha,Alluvial,Zaid,1032,26,83,8,313,41,206,Tur
Nanded,Laterite,Rabi,1136,23,73,8,206,26,156,Tur
Gondia,Laterite,Kharif,737,21,89,6,356,11,213,Soybean
Thane,Red,Zaid,562,29,59,6,302,27,221,Rice
Nandurbar,Red,Kharif,1045,23,54,6,217,34,267,Sugarcane
Nagpur,Red,Kharif,779,31,58,8,281,27,189,Soybean
Hingoli,Sandy,Kharif,888,31,53,7,265,25,230,Tur
Mumbai Suburban,Sandy,Rabi,950,25,35,7,336,33,147,Rice
Solapur,Red,Rabi,925,19,59,8,258,44,297,Wheat
Bhandara,Sandy,Kharif,994,26,64,6,277,19,197,Soybean
Gondia,Laterite,Rabi,1032,25,70,8,290,25,296,Tur
Aurangabad,Alluvial,Rabi,1082,22,70,7,258,18,245,Wheat
Akola,Red,Zaid,564,26,45,8,242,13,271,Rice
Beed,Alluvial,Kharif,1078,20,82,7,289,33,231,Tur
Buldhana,Laterite,Rabi,1117,26,40,7,213,27,231,Cotton
Beed,Alluvial,Zaid,818,27,81,7,349,18,213,Rice
Sindhudurg,Alluvial,Rabi,997,29,66,7,273,16,277,Sugarcane
Jalna,Red,Rabi,432,20,80,6,308,35,263,Tur
Satara,Laterite,Kharif,1000,35,44,8,239,17,193,Soybean
Ahmednagar,Sandy,Kharif,732,33,60,7,220,31,218,Wheat
Jalgaon,Red,Rabi,1062,30,82,7,266,21,223,Cotton
Palghar,Black,Zaid,744,19,66,7,268,20,228,Rice
Pune,Black,Kharif,1381,26,66,7,230,20,308,Maize
Jalgaon,Red,Rabi,917,22,68,8,263,11,217,Tur
Bhandara,Red,Kharif,1062,23,72,7,303,27,299,Cotton
Sindhudurg,Alluvial,Rabi,574,19,48,7,262,23,201,Sugarcane
Pune,Red,Zaid,-8,30,73,6,275,33,232,Soybean
Solapur,Red,Kharif,737,24,73,7,267,30,324,Rice
Osmanabad,Black,Zaid,783,28,62,7,291,20,235,Cotton
Pune,Red,Kharif,1019,27,74,7,222,5,292,Rice
Akola,Sandy,Zaid,698,26,94,7,281,27,240,Maize
Palghar,Sandy,Kharif,1368,28,92,7,384,53,225,Tur
Nanded,Alluvial,Rabi,644,25,56,7,279,35,256,Soybean
Ratnagiri,Red,Zaid,845,27,43,6,258,35,249,Maize
Yavatmal,Red,Kharif,840,27,46,7,286,10,150,Tur
Dhule,Sandy,Zaid,945,25,53,7,301,28,288,Rice
Jalna,Red,Zaid,790,33,59,8,278,24,196,Rice
Mumbai City,Black,Kharif,815,19,61,6,229,20,258,Wheat
Osmanabad,Alluvial,Zaid,861,27,53,5,340,10,209,Cotton
Osmanabad,Alluvial,Kharif,790,32,39,8,301,27,188,Soybean
Buldhana,Sandy,Zaid,963,25,81,7,199,11,199,Maize
Osmanabad,Black,Kharif,1472,26,59,7,249,21,252,Tur
Jalna,Black,Zaid,941,28,61,7,309,20,191,Tur
Jalgaon,Black,Rabi,747,31,62,8,246,36,203,Wheat
Dhule,Laterite,Rabi,997,23,75,5,235,20,196,Tur
Amravati,Sandy,Zaid,605,28,69,8,241,32,278,Tur
Palghar,Sandy,Rabi,1370,29,65,7,275,23,163,Cotton
Pune,Alluvial,Zaid,1222,29,83,7,196,44,169,Soybean
Buldhana,Sandy,Zaid,723,34,72,6,275,41,219,Maize
Parbhani,Sandy,Rabi,711,33,62,8,273,17,244,Rice
Sangli,Black,Kharif,1075,33,67,8,255,17,268,Tur
Aurangabad,Sandy,Kharif,954,24,52,7,346,35,225,Tur
Gadchiroli,Black,Rabi,351,32,72,6,182,25,284,Sugarcane
Amravati,Sandy,Rabi,517,35,40,7,221,12,165,Tur
Chandrapur,Laterite,Kharif,1093,23,47,7,309,9,270,Sugarcane
Ahmednagar,Red,Rabi,1140,27,69,8,270,11,274,Sugarcane
Nandurbar,Red,Kharif,886,25,60,8,241,23,201,Maize
Jalna,Sandy,Kharif,843,26,42,8,228,19,238,Tur
Latur,Alluvial,Rabi,947,27,79,8,255,24,165,Rice
Hingoli,Sandy,Rabi,1047,31,39,7,234,32,225,Rice
Solapur,Red,Kharif,1157,34,73,8,267,36,188,Maize
Bhandara,Laterite,Rabi,989,28,59,6,323,22,214,Sugarcane
Satara,Sandy,Zaid,522,23,66,6,191,32,231,Tur
Osmanabad,Red,Rabi,1080,16,53,7,296,29,247,Cotton
Nanded,Laterite,Kharif,1232,31,81,7,230,19,191,Wheat
Washim,Black,Zaid,385,22,77,6,316,23,229,Cotton
Jalna,Sandy,Rabi,1761,28,74,7,226,18,302,Rice
Osmanabad,Sandy,Kharif,700,23,57,8,326,25,174,Tur
Buldhana,Black,Kharif,1708,26,46,7,257,23,191,Wheat
Osmanabad,Sandy,Kharif,1215,29,69,6,378,38,225,Tur
Mumbai City,Sandy,Kharif,1515,26,80,8,305,23,258,Soybean
Nandurbar,Laterite,Zaid,1458,26,75,7,239,27,186,Sugarcane
Ahmednagar,Alluvial,Rabi,1514,33,74,7,249,24,257,Rice
Nanded,Sandy,Rabi,1250,33,70,8,259,18,279,Maize
Satara,Laterite,Rabi,1229,26,57,8,234,6,273,Maize
Sindhudurg,Alluvial,Zaid,726,25,50,6,259,26,174,Soybean
Washim,Alluvial,Rabi,1039,20,87,7,201,18,146,Tur
Solapur,Sandy,Rabi,1000,27,68,7,256,27,360,Rice
Osmanabad,Alluvial,Zaid,639,29,79,6,277,29,298,Rice
Nagpur,Black,Zaid,1306,31,63,7,321,16,278,Cotton
Raigad,Sandy,Rabi,1153,24,50,6,302,20,154,Soybean
Jalna,Laterite,Rabi,952,30,60,7,247,21,231,Tur
Nandurbar,Red,Rabi,1116,30,63,8,237,41,211,Wheat
Bhandara,Red,Zaid,803,31,49,7,296,20,226,Rice
Nashik,Black,Rabi,1573,30,63,7,292,29,249,Cotton
Nagpur,Sandy,Kharif,1504,35,58,7,272,17,173,Sugarcane
Kolhapur,Alluvial,Rabi,829,26,70,8,187,32,209,Rice
Kolhapur,Red,Kharif,1196,32,50,8,227,17,210,Soybean
Palghar,Sandy,Rabi,595,21,89,7,279,13,232,Cotton
Ahmednagar,Sandy,Rabi,1001,38,61,7,260,35,222,Sugarcane
Nanded,Sandy,Kharif,1078,25,53,8,238,39,235,Maize
Jalgaon,Red,Kharif,845,28,55,7,358,34,174,Maize
Kolhapur,Alluvial,Zaid,1225,27,62,6,244,24,236,Soybean
Dhule,Alluvial,Rabi,894,31,62,8,229,23,180,Soybean
Parbhani,Laterite,Zaid,593,31,46,6,135,29,189,Tur
Jalna,Sandy,Rabi,554,22,78,7,316,19,272,Soybean
Bhandara,Black,Zaid,1001,27,60,7,261,17,201,Sugarcane
Ratnagiri,Red,Kharif,973,19,57,6,200,24,214,Wheat
Thane,Sandy,Kharif,1053,23,83,7,365,27,143,Sugarcane
Wardha,Laterite,Kharif,1041,32,34,7,231,7,234,Rice
Wardha,Sandy,Kharif,689,27,77,7,226,32,282,Tur
Hingoli,Black,Zaid,1118,30,68,8,277,24,218,Soybean
Raigad,Sandy,Rabi,340,24,51,7,208,34,236,Maize
Chandrapur,Sandy,Rabi,1328,25,78,6,371,29,284,Soybean
Gondia,Sandy,Kharif,1411,29,65,7,273,14,225,Tur
Aurangabad,Black,Kharif,763,27,70,7,243,30,260,Cotton
Gondia,Red,Zaid,956,15,62,7,202,26,242,Cotton
Wardha,Laterite,Kharif,1007,33,60,6,255,25,191,Soybean
Solapur,Red,Rabi,735,23,83,7,192,12,172,Rice
Jalgaon,Alluvial,Zaid,971,28,69,7,267,33,282,Maize
Solapur,Sandy,Rabi,1069,28,62,7,281,38,172,Tur
Ahmednagar,Laterite,Kharif,1027,26,75,8,226,39,253,Wheat
Beed,Alluvial,Zaid,1008,31,85,8,251,25,247,Sugarcane
Ratnagiri,Alluvial,Zaid,521,25,64,7,309,21,119,Tur
Parbhani,Red,Rabi,798,28,66,7,307,19,280,Cotton
Nagpur,Laterite,Rabi,1233,25,59,7,202,36,228,Soybean
Nagpur,Sandy,Rabi,961,32,40,6,347,28,162,Soybean
Hingoli,Sandy,Rabi,1402,32,56,8,299,16,254,Wheat
Amravati,Red,Rabi,997,29,78,7,282,24,149,Cotton
Nanded,Red,Zaid,379,27,77,6,198,18,118,Sugarcane
Ratnagiri,Sandy,Kharif,748,31,62,8,251,45,251,Sugarcane
Osmanabad,Alluvial,Kharif,1265,31,72,7,330,13,227,Rice
Satara,Red,Kharif,525,25,74,6,349,23,257,Sugarcane
Beed,Black,Kharif,1207,27,70,7,243,12,132,Soybean
Jalna,Red,Rabi,1432,32,67,7,253,23,284,Sugarcane
Nanded,Black,Rabi,969,25,83,7,228,31,187,Maize
Palghar,Black,Kharif,1175,27,48,7,196,23,170,Soybean
Bhandara,Sandy,Zaid,750,25,79,7,233,33,302,Maize
Sangli,Laterite,Zaid,897,31,56,7,188,35,208,Wheat
Ahmednagar,Sandy,Rabi,1009,29,26,7,254,27,183,Tur
Sindhudurg,Alluvial,Rabi,1071,27,32,7,252,14,204,Cotton
Jalgaon,Sandy,Kharif,326,20,79,8,364,20,246,Soybean
Mumbai Suburban,Black,Kharif,1289,28,42,6,214,16,186,Wheat
Amravati,Alluvial,Rabi,683,23,66,8,221,18,249,Maize
Bhandara,Alluvial,Zaid,1378,21,41,7,244,26,224,Tur
Yavatmal,Laterite,Rabi,1002,30,62,6,247,36,190,Maize
Yavatmal,Laterite,Rabi,901,27,75,7,292,29,145,Rice
Wardha,Laterite,Rabi,706,23,50,7,267,29,265,Soybean
Latur,Alluvial,Zaid,859,40,70,7,234,7,216,Wheat
Nagpur,Red,Kharif,1121,30,58,7,344,20,223,Soybean
Bhandara,Alluvial,Kharif,1171,25,43,7,240,34,175,Sugarcane
Yavatmal,Laterite,Rabi,563,30,68,7,258,23,333,Sugarcane
Nandurbar,Laterite,Kharif,845,26,67,7,265,15,224,Cotton
Gadchiroli,Red,Zaid,870,25,75,6,258,18,189,Maize
Mumbai City,Red,Rabi,1058,32,70,7,294,33,220,Cotton
Nashik,Laterite,Rabi,1127,33,57,6,258,26,271,Maize
Wardha,Alluvial,Zaid,913,31,47,7,227,13,250,Soybean
Hingoli,Alluvial,Kharif,1106,25,58,7,313,18,268,Rice
Nashik,Black,Zaid,901,21,68,7,312,19,253,Maize
Osmanabad,Laterite,Rabi,935,28,67,6,305,29,218,Soybean
Hingoli,Sandy,Kharif,680,22,77,7,360,27,241,Maize
Ahmednagar,Laterite,Zaid,270,25,55,7,375,24,281,Soybean
Osmanabad,Laterite,Kharif,1082,24,73,8,254,19,246,Wheat
Gondia,Sandy,Rabi,955,23,27,7,280,21,277,Cotton
Nanded,Black,Kharif,764,29,59,6,289,23,172,Soybean
Mumbai Suburban,Red,Kharif,1216,23,60,7,221,24,262,Wheat
Jalna,Alluvial,Kharif,1233,31,79,7,200,13,194,Sugarcane
Gondia,Alluvial,Rabi,699,25,69,7,246,29,201,Wheat
Jalgaon,Sandy,Rabi,1155,28,79,7,246,17,280,Sugarcane
Thane,Red,Zaid,1066,30,73,7,315,24,274,Cotton
Gadchiroli,Sandy,Rabi,486,32,57,7,289,28,290,Maize
Yavatmal,Black,Rabi,1060,30,46,8,312,40,281,Maize
Ratnagiri,Alluvial,Kharif,1686,33,69,7,314,27,309,Cotton
Buldhana,Alluvial,Rabi,1426,38,40,7,244,41,243,Maize
Hingoli,Black,Zaid,1147,23,67,6,325,22,164,Soybean
Kolhapur,Black,Kharif,830,21,61,7,301,7,237,Tur
Sindhudurg,Black,Kharif,998,28,72,8,245,14,288,Maize
Bhandara,Sandy,Kharif,1168,24,38,7,316,30,176,Maize
Thane,Sandy,Rabi,940,35,36,6,215,36,261,Cotton
Wardha,Sandy,Zaid,1039,34,50,7,283,34,219,Soybean
Beed,Laterite,Zaid,1000,27,85,7,194,44,150,Soybean
Buldhana,Black,Rabi,995,24,83,6,267,34,249,Cotton
Latur,Red,Kharif,692,23,47,7,260,32,232,Tur
Ahmednagar,Alluvial,Zaid,1013,27,79,6,245,38,206,Cotton
Nashik,Sandy,Kharif,482,34,35,8,276,27,216,Soybean
Gadchiroli,Sandy,Zaid,1037,30,79,7,167,15,259,Soybean
Buldhana,Red,Zaid,866,31,84,7,275,34,267,Cotton
Raigad,Red,Rabi,1395,21,75,7,246,11,217,Sugarcane
Sindhudurg,Red,Kharif,1107,22,63,7,327,39,232,Cotton
Ratnagiri,Alluvial,Kharif,1135,26,37,8,233,27,215,Cotton
Latur,Laterite,Zaid,455,35,53,8,291,44,216,Tur
Mumbai City,Sandy,Zaid,840,33,56,7,207,22,257,Wheat
Jalgaon,Black,Kharif,800,35,82,7,244,30,181,Maize
Mumbai Suburban,Alluvial,Kharif,1443,30,86,6,298,17,176,Rice
Nandurbar,Black,Rabi,1188,31,57,8,252,36,199,Tur
Wardha,Alluvial,Zaid,1244,20,61,8,258,31,297,Wheat
Aurangabad,Sandy,Zaid,886,25,76,7,214,15,212,Soybean
Raigad,Sandy,Zaid,828,25,80,7,238,22,167,Soybean
Akola,Black,Kharif,708,25,62,7,264,47,204,Rice
Mumbai Suburban,Red,Kharif,641,28,65,7,269,42,265,Rice
Nashik,Black,Zaid,800,28,65,7,264,28,227,Tur
Nandurbar,Black,Zaid,681,32,53,8,288,43,217,Tur
Latur,Laterite,Rabi,371,27,61,7,268,20,262,Tur
Yavatmal,Black,Rabi,484,20,61,7,256,30,193,Sugarcane
Bhandara,Sandy,Kharif,526,24,77,6,273,26,240,Wheat
Beed,Red,Zaid,1075,24,66,7,292,8,186,Maize
Jalgaon,Sandy,Zaid,1122,31,73,6,291,15,180,Maize
Beed,Sandy,Zaid,1224,30,73,7,298,33,225,Cotton
Satara,Sandy,Zaid,772,36,44,7,351,39,235,Maize
Gondia,Alluvial,Rabi,738,23,72,7,295,9,226,Tur
Buldhana,Red,Rabi,1179,34,68,8,223,31,177,Maize
Nagpur,Black,Rabi,464,27,70,7,251,31,194,Maize
Palghar,Red,Zaid,1400,22,81,7,276,24,228,Tur
Aurangabad,Sandy,Kharif,999,25,59,7,205,28,201,Sugarcane
Thane,Laterite,Rabi,1080,33,85,7,293,22,246,Sugarcane
Raigad,Alluvial,Zaid,493,31,46,5,300,24,130,Maize
Parbhani,Red,Zaid,936,35,58,7,247,22,277,Maize
Kolhapur,Alluvial,Zaid,1270,30,58,7,253,35,233,Sugarcane
Hingoli,Laterite,Rabi,1011,24,72,7,247,32,259,Maize
Washim,Alluvial,Rabi,788,27,63,7,308,30,145,Cotton
Nanded,Laterite,Rabi,901,24,67,7,298,26,244,Soybean
Raigad,Laterite,Kharif,856,27,62,8,191,42,234,Rice
Palghar,Alluvial,Rabi,1203,23,62,6,320,14,239,Tur
Beed,Black,Rabi,987,25,51,8,342,30,197,Cotton
Gadchiroli,Black,Rabi,1347,23,53,7,190,11,252,Maize
Yavatmal,Alluvial,Zaid,857,34,43,7,222,22,264,Soybean
Nandurbar,Red,Zaid,528,31,30,7,207,29,176,Rice
Pune,Sandy,Rabi,959,30,73,8,161,22,157,Sugarcane
Sindhudurg,Alluvial,Kharif,547,25,62,6,290,11,236,Sugarcane
Nagpur,Laterite,Rabi,794,26,52,6,235,26,222,Cotton
Jalgaon,Laterite,Zaid,667,25,52,8,316,22,299,Wheat
Ahmednagar,Black,Rabi,943,23,67,7,284,17,166,Tur
Pune,Black,Rabi,1019,38,58,6,278,27,174,Soybean
Latur,Laterite,Rabi,502,35,54,8,270,30,211,Maize
Satara,Alluvial,Zaid,1085,24,53,7,235,20,197,Soybean
Kolhapur,Black,Zaid,972,23,52,8,206,11,228,Wheat
Chandrapur,Alluvial,Rabi,1197,46,65,7,259,23,203,Tur
Osmanabad,Red,Zaid,707,29,71,8,297,19,179,Soybean
Buldhana,Black,Kharif,941,34,81,7,258,22,237,Soybean
Nanded,Sandy,Rabi,994,22,55,6,227,16,275,Cotton
Raigad,Alluvial,Rabi,1423,24,61,8,275,32,200,Soybean
Hingoli,Black,Rabi,1653,29,52,6,278,28,175,Maize
Chandrapur,Laterite,Kharif,595,29,57,7,234,21,217,Tur
